title,ingredients,instructions,ing_clean
boiled onions,"['2 lbs onions (white, yellow, or vidalia)', '1 tablespoon margarine (I use Smart Balance Light) or 1 tablespoon butter', '1 tablespoon sugar (adjust according to your preference, if using Vidalia or other sweet onions, can cut the sugar in ha)', 'salt and pepper']","['Wash onions, trim ends and remove outer layer (keep whole).', ""Cook in salted boiling water for 30- 50 minutes (depending on size of onions) until soft and onion layers start to 'come apart'."", 'Drain water, and toss onions w/ margarine, sugar, salt and pepper.', 'You can make this recipe a day or 2 in advance, store in fridge, and heat up in microwave just before serving.']","yellow, onions, Smart, Balance, Light, sugar, Vidalia, sugar, pepper"
quick chocolate mousse,"['1 (1.5 ounce) bar milk chocolate candy bar', '1 tablespoon milk', '1 1/2 cups plain fat-free Greek yogurt']","['Put the chocolate bar into a microwave-safe bowl and add the milk.', 'Microwave until the chocolate is soft and melted, about 30 seconds.', 'Stir Greek yogurt into the chocolate mixture until smooth.']","milk, bar, milk, fatfree, Greek, yogurt"
easy italian-style chili,"['1 lb ground beef (80% lean)', '1 cup chopped onion', ""2 (8 ounce) cans Hunt's Tomato Sauce"", ""1 (14 1/2 ounce) can Hunt's Diced Tomatoes, undrained"", '2 cups water', '1 cup small size pasta, any shape, uncooked', '1 (16 ounce) can kidney beans, drained, rinsed', '13 cup Kraft Grated Parmesan Cheese, divided', '1 tablespoon chili powder']","['Brown meat and onion in large saucepan; drain.', 'Add tomato sauce, undrained tomatoes, water, pasta, beans, 1/4 cup cheese and chili powder; stir.', 'Cover; cook on medium heat 10 to 12 minutes or until pasta is tender, stirring occasionally.', 'Sprinkle with remaining cheese just before serving.']","onion, Hunts, Tomato, Sauce, Hunts, Diced, Tomatoes, water, pasta, shape, kidney, beans, Kraft, Grated, Parmesan, Cheese, powder"
spicy korean temple noodles,"['2 tablespoons gochujang (Korean chile paste)', '2 tablespoons Asian persimmon, plum or other fruit vinegar', '2 tablespoons sugar, preferably organic', '1 tablespoon black raspberry extract or other berry syrup', '1 teaspoon soy sauce, preferably Korean', '9 ounces thin udon', '1/4 English cucumber, peeled, quartered and sliced']","['In a large bowl, mix together the gochujang, vinegar, sugar, berry extract and soy sauce.', 'Bring to a boil 3 quarts of water in a large pot with plenty of space to spare.', 'Add the noodles, and when the water returns to the boil, add a cup of cold water.', 'Return to the boil and repeat, adding the cold water, twice more.', 'By this time the noodles should be al dente.', 'Drain them, rinse briefly with cold water and drain well.', 'Add noodles to the bowl of seasoning.', 'Toss together.', 'Divide among 4 plates or bowls, top each with cucumber and serve.']","Korean, paste, Asian, persimmon, plum, soy, udon"
fast and easy pizza fondue,"['1 (14 ounce) jar pizza sauce', '2 teaspoons italian seasoning', '1 teaspoon garlic powder', '14 cup diced pepperoni', '14 cup green pepper', '1 pinch red pepper flakes', '12 cup mozzarella cheese, shredded', '12 loaf frozen garlic bread, cut into 1 inch cubes']","['Begin by heating broiler.', 'and toasting bread.', 'While bread is toasting, combine all ingredients EXCEPT cheese in an oven-safe dish.', 'Once bread is toasted, set aside and allow to cool.', 'Place sauce under broil for up to 5 minutes or until slightly bubbling.', 'Cover sauce with cheese and place back under broil until cheese melts and begins to brown.', 'Take fondue out of the broil and allow to sit for a couple minutes, just so its not like putting molten lava in your mouth.', 'Serve with bread, fried veggies, or even tortilla chips.']","jar, pizza, sauce, italian, seasoning, powder, pepperoni, pepper, pepper, flakes, frozen, bread"
"tagliatelle with garlic, gorgonzola and basil","['12 ounces tagliatelle pasta noodles', '4 tablespoons butter', '3 garlic cloves, sliced', '8 ounces gorgonzola, crumbled', '23 cup light cream', '2 tablespoons fresh basil, chopped', 'salt', 'pepper']","['Bring a large saucepan of salted water to a boil.', 'Add the pasta and boil for 10-12 minutes until al dente.', 'While the Pasta is cooking, melt the butter in a pan.', 'Add the garlic and cook for two minutes.', 'Add half the gorgonzola cheese to the pan with the cream and stir over low heat until the cheese has melted.', 'Add the basil and season with pepper, if needed.', 'Drain the pasta, divide between warmed serving plates, pour the sauce over the pasta and scatter the remaining Gorgonzola cheese evenly over each dish.', 'Serve immediately.']","tagliatelle, pasta, noodles, butter, basil"
pepperoni rollups,"['1 (8 ounce) can refrigerated crescent dinner rolls', '1 (3 1/2 ounce) packagethinly sliced pepperoni', '12 cup shredded mozzarella cheese', '2 cups pizza sauce']","['Preheat oven to 350 degrees.', 'Separate dough into 4 rectangles; firmly press perforations to seal.', 'Place 8 pepperoni slices on each rectangle.', 'Sprinkle each rectangle with approximately 2 tablespoons mozzarella cheese.', 'Starting at shortest side, lightly roll up each rectangle; pinch to seal.', 'Slice each roll into 4 equal sections.', 'Pinch dough together on one open side of each slice to seal.', 'Place each slice sealed-side down on ungreased cookie sheet.', 'Bake for 18-20 minutes or until golden brown.', 'Serve with warm pizza sauce.']","dinner, rolls, pepperoni, pizza, sauce"
grandma's split pea soup,"['2 cups dried split peas', '3 carrots, finely chopped', '12 onion, finely chopped', '12 teaspoon minced garlic', '1 lb ham steak, diced to bite size pieces', 'salt and pepper', '1 (12 ounce) can evaporated milk']","['Add all ingredients except for the milk to soup pan and cover with water.', 'Simmer 4 hours covered, adding more water as needed or until the peas break up.', 'after the peas break up, remove lid and let excess water steam off until you have a thick paste.', 'Add evaporated milk and serve.']","split, peas, ham, steak, pepper, milk"
creamed broccoli and cauliflower soup recipe,"['2 c. broccoli', '2 c. cauliflower', '1/2 c. water', '1 teaspoon salt', '1/2 teaspoon basil', '2 tbsp. butter', '2 1/2 tbsp. flour', '3 c. lowfat milk']","['In saucepan, combine broccoli, cauliflower, water, salt, and basil.', 'Cook till tender.', 'In separate pan, heat butter till lightly browned.', 'Add in flour and stir till smooth.', 'Gradually add in lowfat milk, stirring constantly, till thickened.', 'Pour over vegetable mix and stir till blended.']","broccoli, water, salt, basil, butter, flour, lowfat, milk"
stuffed peppers,"['1 lb Ground beef', '40 oz kidney beans', '1 cooked Jasmine white rice (or your favorite )', '1 medium onion', '4 large large bell peppers', '1 garlic powder', '1 onion powder', '1 can can diced tomatoes ( fiery garlic or your choice )', '24 oz spaghetti sauce (I used garden vegetable )', '1 shredded cheese (sharp cheddar and 6 cheese blend)']","['Cook Ground beef and drain using strainer)', 'Place ground beef back in pan and add can diced tomatoes, and chopped onions kidney beans , and spaghetti sauce...cover and cook until onions are tender.', '.add your favorite seasoning I used garlic powder, onion powder Italian seasoning and salt and pepper...add rice last', 'Cut bell peppers in half ..removing all seeds and rinse well', 'Stuff peppers and sprinkle cheese on top and place in oven for about 30mins or until pepper is cooked to your liking and cheese is melted...I also put the boiler on for a couple of minutes to roasted and makes cheese a lil crunchy']","Ground, beef, kidney, beans, Jasmine, white, rice, onion, bell, peppers, powder, powder, vegetable"
black olive spread,"['1 (10 ounce) can black olives', '3 tablespoons freshly grated Parmesan cheese', '1 clove garlic, chopped', '1 tablespoon extra virgin olive oil']","['Place olives, Parmesan cheese, and garlic (if using) in a food processor.', 'Add olive oil slowly while running.', 'Process until smooth.']","black, olives, virgin, olive, oil"
double-blueberry yogurt smoothie,"['2 cups fat-free soy milk', '2 containers (6 oz. each) blueberry low-fat yogurt', '1 cup frozen blueberries', '1/4 cup thawed COOL WHIP LITE Whipped Topping']","['Blend all ingredients except COOL WHIP in blender until smooth.', 'Pour into 4 glasses.', 'Top with COOL WHIP.', 'Serve immediately.']","fatfree, soy, milk, frozen, blueberries, WHIP, LITE, Whipped, Topping"
real margaritas,"['1 lime, halved', 'Kosher salt', '1/2 cup freshly squeezed lime juice (5 limes)', '2 tablespoons freshly squeezed lemon juice (1 lemon)', '1 cup Triple Sec', '1 cup white tequila', '2 cups ice, plus extra for serving']","['If you like margaritas served in a glass with salt, rub the outside rims of 6glasses with a cut lime and dip each glass lightly into a plate of kosher salt.', 'Combine the lime juice, lemon juice, Triple Sec, tequila, and ice in a blender and puree.', 'Place extra ice in a cocktail shaker.', 'Fill with margarita mix, shake well, and strain into glasses.']","squeezed, limes, lemon, juice, Triple, Sec, white, tequila, ice"
lemon whippersnaps,"['1 (18 ounce) box lemon supreme cake mix', '2 14 cups Cool Whip, thawed', '1 large egg', ""1 cup confectioners' sugar""]","['Mix the dry cake mix, cool whip and egg to form a cookie dough.', 'Drop by spoonfuls into powdered sugar and roll.', 'Bake at 350 degrees for 10-15 minutes.']","box, lemon, mix, Cool, Whip, egg"
liver burgers recipe,"['1/4 pound grnd liver', '1/4 pound grnd beef', '1 c. fine cracker crumbs', '2 Large eggs', '1 teaspoon salt', '1 teaspoon grated onion', 'Dash of pepper']","['Mix all together and fry till done.', '(I use all liver instead of grnd beef.)']","liver, beef, eggs, salt, onion, pepper"
italian-style scallops with vegetables and pasta,"['1 pkg. (9 oz.) refrigerated angel hair pasta', '1 lb. sea scallops', '1 cup prepared GOOD SEASONS Basil Vinaigrette Dressing Mix, divided', '1 can (14 oz.) artichoke hearts, drained, cut in half', '1 large red bell pepper, sliced Target 1 pkg For $2.99 thru 02/06', '1 small onion, thinly sliced Safeway 3 lb For $2.99 thru 02/09', '1/4 cup KRAFT Shredded Parmesan Cheese', '1 can (2.25 oz.) sliced black olives, rinsed', '2 Tbsp. thinly sliced fresh basil', '1/4 tsp. crushed red pepper']","['Cook pasta as directed on package, omitting salt.', 'Meanwhile, cook and stir scallops in 1/2 cup dressing in large skillet on medium-high heat 2 min.', 'Add artichokes, bell peppers and crushed red pepper; cook and stir until scallops are opaque.', 'Drain pasta.', 'Add to scallop mixture with cheese, olives, basil and remaining dressing; mix lightly.']","refrigerated, hair, pasta, sea, scallops, prepared, Vinaigrette, Dressing, Mix, hearts, red, bell, pepper, pkg, onion, Safeway, KRAFT, Shredded, Parmesan, Cheese, black, olives, basil, red, pepper"
frappuccino,"['12 cup espresso', '2 12 cups skim milk', '14 cup sugar substitute', '1 tablespoon dry pectin']","['Combine all ingredients in a covered container.', 'Shake until sugar and pectin are dissolved.']","espresso, skim, milk, sugar, substitute, pectin"
fudgy chocolate cherry float,"['1 pint cherry vanilla ice cream', ""7 14 ounces smucker's chocolate fudge Magic Shell ice cream topping"", '20 ounces black cherry soda']","['LINE a dinner-sized plate with foil.', 'Place in freezer to chill for 10 minutes.', 'Turn Magic Shell bottle upside down and shake for at least 20 seconds.', 'SCOOP 6 rounded servings of cherry vanilla ice cream onto chilled plate.', 'Immediately coat with Magic Shell.', '(To assemble later, return to freezer until ready to serve.', ').', 'ASSEMBLE by placing two scoops of ice cream into 1 of 3 tall (12 ounce) glasses.', 'Fill glasses 2/3rds full with black cherry soda.', 'Serve immediately with iced tea spoons and straws.']",smuckers
fresh mozzarella & tomato salad with balsamic vinaigrette,"['8 ounces fresh mozzarella balls, sliced', '3 cups fresh baby greens', '3 tomatoes, sliced', '2 tablespoons fresh basil, chpped', '14 cup olive oil', '3 tablespoons balsamic vinegar', '12 teaspoon Dijon mustard', '14 teaspoon salt (or to taste)', 'fresh ground pepper']","['Mix Vinegar, mustard, salt and pepper together.', 'Add oil and whisk until well blended.', 'Spread greens on plate or in bowl.', 'Cover with tomato slices.', 'Arrange Cheese slices on top of tomatoes.', 'Drizzle dressing over salad.', 'Sprinkle with fresh basil.']","mozzarella, balls, basil, olive, oil, balsamic, vinegar, Dijon, mustard, salt, pepper"
pbj crunch bars,"['2 1/4 cups oats', '2 1/4 cups all-purpose flour', '3/4 cup white sugar', '1 cup brown sugar', '1/4 cup graham cracker crumbs', '1/4 teaspoon ground cinnamon', '3 sticks cold butter, thinly sliced', '1 1/2 cups warm peanut butter', '1 1/2 cups grape jelly']","['Preheat an oven to 375 degrees F (190 degrees C).', 'Stir the oats, flour, white sugar, brown sugar, graham cracker crumbs, and cinnamon in the bowl of a stand mixer.', 'Using the whisk attachment, cut the butter into the mixture until crumbly.', 'Press about half of the mixture into the bottom of an ungreased 9x13-inch baking dish.', 'Spread the peanut butter over the oat mixture.', 'Stir the jelly to make it spreadable and swirl into the peanut butter.', 'Sprinkle the remaining oat mixture over the peanut butter and jelly layer; gently pat until it sticks together.', 'Bake in the preheated oven until golden brown, 25 to 35 minutes.', 'Allow to cool completely before cutting into bars.']","oats, flour, white, sugar, brown, sugar, butter, warm, peanut, butter, jelly"
madame wu's spicy noodles,"['1 lb spaghetti-shaped noodles, dry', '18-14 cup sesame oil', '14 cup chili-garlic sauce', '12 cup soy sauce', '12 cup rice vinegar', '12 bunch green onion, sliced', '12 bunch fresh cilantro, chopped']","['Cook pasta according to package directions.', 'Drain and rinse with cold water.', 'Place in large mixing bowl.', 'Add remaining ingredients and toss.', 'Refrigerate until ready to serve.', 'Can be made several days ahead.']","spaghettishaped, noodles, sesame, oil, sauce, soy, sauce, rice, vinegar, onion"
jumbo seashells florentine,"['12 large shell pasta', '1 (10 ounce) package frozen chopped spinach, thawed and well drained', '1 small onion, minced', '1 egg, beaten', 'salt', 'pepper', '1 cup well-drained cottage cheese', '1 (10 3/4 ounce) can cream of mushroom soup', '13 cup water']","['Prepare macaroni shells according to package directions; drain and set aside.', 'In a mixing bowl, add the spinach, onion, egg, salt and pepper to taste, and cottage cheese; stir to combine.', 'Spoon spinach mixture into shells.', 'Place shells in a shallow baking dish.', 'Mix together the soup and water; spoon over macaroni shells.', 'Cover and bake at 350 for 25-35 minutes or until heated through.']","shell, pasta, frozen, spinach, onion, water"
aunt julie's pineapple cookies,"['8 ounces cream cheese', '1 cup butter', '2 cups sifted flour', '18 ounces pineapple preserves', '12 cup powdered sugar (approximate)']","['Mix the butter and the cream cheese in a large bowl then slowly add sifted flour until the ingredients form a soft dough.', 'Cover and refrigerate for 2 hours.', ""Sift some powdered sugar on a cutting board (just a dusting- enough so dough won't stick when you roll it out)."", 'Gather a ball of dough the size of a walnut and roll on the cutting board into a circular shape.', 'Sprinkle more powdered sugar as needed so the dought does not stick.', 'Place a small spoonful (approx.', '2 teaspoons) of pineapple preserves in the middle of the circle.', 'Either roll the dough up or fold over and seal the edges.', 'Place on a cookie sheet lined with parchment paper and bake at 350 degrees for 10-15 minutes (until the cookies begin to lightly brown on the bottom and edges.', ').']","butter, flour, pineapple, powdered, sugar, approximate"
the cheesy riri,"['tbsp olive oil', 'pinch Dried mint', '1/4 cup Bacon bits', '1 loaf Burger bread']","['Add the olive oil to the sides of the burger bread, then place the loaf into a preheated oven for 2 minutes.', 'Put the bacon bits in the lower part off the loaf.', 'Put the mozzarella cheese on top of the bacon bits.', 'Then put the loaf into the microwave for 2 and a half minutes or until the cheese melts.', 'Add the dried mint on top of the cheese, and then enjoy your meal']","oil, mint, Bacon, bits, Burger, bread"
p. f. changs sauce for fried green beans appetizer,"['1 cup japanese mayonnaise, we used Kewpie brand (regular mayo will do the trick)', '2 12 tablespoons sirachi hot chili sauce', '6 green onions, whites only, coarsely chopped', '4 garlic cloves, coarsely chopped', '12 teaspoon prepared horseradish']","['Place ingredients in blender or food processor and mix til smooth.', 'FOR THE VEGGIES:.', 'Make a tempura batter and dredge your green beans, asparagus or any veggie in it and either flash fry in oil on the stove or in the oven for a healthier spin.']","japanese, mayonnaise, mayo, trick, sauce, onions, whites, prepared, horseradish"
rob and lisa's island-escape salad,"['1/2 of a medium pineapple, cored, cut into 1/2-inch-thick slices', '1 medium mango, cut into 1/2-inch-thick slices Whole Foods 2 ea For $4.00 thru 02/09', '4 cups torn salad greens', '1 cup jicama sticks (2 inch)', '1 cup cherry tomatoes, halved', '1/4 cup Kraft Balsamic Vinaigrette Dressing']","['Preheat greased grill to medium-high heat.', 'Grill fruit 3 min.', 'on each side or until lightly browned on both sides.', 'Cut fruit into 2-inch sticks; place in large salad bowl.', 'Add greens, jicama and tomatoes; toss lightly.', 'Drizzle with dressing just before serving.']","pineapple, mango, jicama, tomatoes"
broiled parmesan tomatoes,"['Three (14 1/2-ounce) cans whole tomatoes, drained any variety including Italian plum', 'Salt and pepper', '1/2 cup (1 stick) unsalted butter', '1 1/2 cups freshly grated Parmesan']","['Place the tomatoes in a 13 by 9-inch casserole dish.', 'Sprinkle with salt and pepper to taste and top each with a pat of butter.', 'Generously sprinkle the cheese over the tomatoes and broil for 10 to 15 minutes, until the tomatoes are heated through and the cheese is bubbly.']","tomatoes, variety, pepper, unsalted, butter, Parmesan"
fair scones,"['2 1/2 cups all-purpose flour', '2 tablespoons white sugar', '2 teaspoons baking powder', '1/2 teaspoon salt', '6 tablespoons shortening', '1/2 cup milk']","['Preheat an oven to 450 degrees F (230 degrees C).', 'Whisk flour, sugar, baking powder, and salt together in a large bowl.', 'Cut shortening into flour mixture with a fork or pastry knife until crumbly texture.', 'Add milk; mix until just combined.', 'Turn dough onto a floured surface; knead until completely mixed, about 1 minute.', 'Divide into 2 equal pieces.', 'Roll or pat each piece into a 3/4-inch round.', 'Cut each round into 4 pieces.', 'Arrange pieces on a baking sheet.', 'Bake in the preheated oven until golden brown, about 15 minutes.']","flour, white, sugar, baking, powder, salt, milk"
tomato and spinach casserole,"['10 ounces fresh spinach or 10 ounces frozen spinach, chopped', '2 teaspoons lemon juice', '2 tablespoons sour cream', '4 ounces button mushrooms', '3 tablespoons butter, divided', '3 -4 large tomatoes', 'salt and pepper', '12-1 cup parmesan cheese']","['Cook spinach; drain well.', 'Sprinkle with lemon juice, and sourcream, mix with mushrooms that have been browned in 1 tablespoons butter and place in a casserole dish.', 'On this place place sliced tomatoes sprinkled with salt and pepper.', 'Sprinkle cheese on top and dot with remaining butter.', 'Bake in 350* oven until browned; about 10 minutes.']","spinach, frozen, spinach, lemon, juice, button, mushrooms, butter, tomatoes, pepper"
marco canora's braised red cabbage,"['2 tablespoons butter', '1 small red onion, peeled and thinly sliced', '1 medium red cabbage, quartered, spines removed and thinly sliced', '12 cup dark brown sugar', '2 tablespoons caraway seeds', '2 tablespoons yellow mustard seeds', '12 cup cider vinegar', '34 cup dry red wine', '1 large tart apple, such as Granny Smith, peeled and coarsely grated', 'salt & freshly ground black pepper']","['1.', 'Melt the butter in a large saute pan over medium heat.', 'Add the onions and saute until softened, about 5 minutes.', 'Add the cabbage and toss until it begins to wilt, 2 to 3 minutes.', '2.', 'Add the brown sugar, caraway seeds, mustard seeds, vinegar, wine and apple.', 'Stir to combine, and season with salt and pepper.', 'Cut a circle of parchment paper the size of the bottom of the pan, slice a small vent in the middle, and place directly over the cabbage.', 'Simmer until the cabbage is soft, about 45 minutes.', 'Adjust salt and pepper, and serve.']","butter, red, onion, spines, brown, sugar, seeds, yellow, mustard, seeds, vinegar, red, wine, tart, apple, black, pepper"
"avocado ""pesto"" recipe","['1 med Avocado, peeled, halved', '1 c. Lightly packed fresh basil leaves', '1/2 c. Canned chicken broth, (or possibly more)', '4 lrg Garlic cloves', '2 Tbsp. Fresh lime juice', '1/2 c. Vegetable oil']","['Place avocado, basil, 1/2 c. broth, garlic and lime juice in blender.', 'Blend till minced, scraping down sides as needed.', 'With machine running, gradually add in oil and blend till smooth.', 'If too thick, gradually add in more broth by Tbsp..', 'Season with salt and pepper.', '(Can be made 1 day ahead; chill.)', 'Makes about 2 c..']","Avocado, packed, basil, leaves, Canned, broth, Garlic, Fresh, lime, juice, Vegetable, oil"
italian burritos,"['1 14 lbs mild Italian sausage or 1 14 lbs hot Italian sausage', '1 (10 ounce) package frozen spinach, thawed and squeezed dry', '1 (10 ounce) containerrefrigerated alfredo sauce', '14 cup fresh basil, chopped', '8 8-9 inch flour tortillas', '1 (28 ounce) jar spaghetti sauce', '1 cup parmesan cheese, shredded']","['Preheat oven to 375F.', 'Grease a 13x9 inch baking dish.', 'Remove sausage from casings, brown in a large skillet and pour off excess fat.', 'Add spinach, Alfredo sauce and basil and combine.', 'Divide mixture between 8 tortillas, roll up and place seam side down in baking dish.', 'Top with spaghetti sauce and sprinkle with cheese.', 'Bake 45-50 minutes or until hot.']","mild, Italian, sausage, frozen, spinach, alfredo, sauce, basil, flour, tortillas"
simple peanut butter and tomato sandwich,"['peanut butter', '2 slices whole wheat bread', '1/4 teaspoon white sugar, or to taste', '1 tablespoon low-fat creamy salad dressing (such as Miracle Whip Light)', '1 tomato, thickly sliced', 'salt and ground black pepper to taste']","['Spread peanut butter on one slice of bread; sprinkle with white sugar.', 'Spread creamy salad dressing on the other slice of bread; top with tomato slices.', 'Sprinkle tomatoes with salt and pepper.', 'Place the 2 sides together and enjoy!']","wheat, bread, white, sugar, black, pepper"
stuffed papaya boats,"['1 cup low fat cottage cheese', '13 cup crushed pineapple, drained', '3 tablespoons honey', '1 tablespoon lime juice', '2 ripe papayas', '1 dash ground cinnamon', 'dask ground allspice']","['In a small bowl, combine all ingredients except papayas.', 'Mix well.', 'Chill several hours.', 'At serving time, peel papayas and cut them in half lengthwise.', 'Scoop out and discard seeds.', 'Cut a very thin slice off the bottom of each half so they will remina stable on the plate.', 'Stir the cottage cheese mixture and mound it into the papaya shells.', 'Sprinkle lightly with additional cinnamon.', 'NOTE: preparation time does not include chilling time.']","pineapple, honey, lime, juice, papayas, allspice"
easy coconut slice,"['1 cup self raising flour', '34 cup caster sugar', '1 cup desiccated coconut', '125 g butter, melted', '2 eggs', '12 cup milk', 'extra icing sugar, for dusting']","['Grease a 19cm x 29cm slice pan and line with baking paper.', 'Sift flour into a large bowl; stir in sugar and coconut.', 'Make a well in the centre.', 'Add combined butter, eggs and milk; mix well.', 'Pour into prepared pan.', 'Cook in moderate oven, 180 C for about 30 minutes, or until cooked when tested.', 'Stand slice in pan for 5 mins; cool on wire rack.', 'Serve slice warm or cold, cut into squares.', 'Dust with extra icing sugar.', 'Decorate with berries if you wish.']","flour, sugar, butter, milk, sugar"
bourbon currant cookies,"['1 cup (2 sticks) unsalted butter, room temperature', '1 cup sugar', '2 large eggs', '3 cups sifted all-purpose flour, plus more for work surface', '1/3 cup bourbon', '1/2 cup dried currants', '1/4 cup heavy cream']","['Preheat oven to 350F.', 'Put butter and sugar in the bowl of an electric mixer fitted with the paddle attachment; mix on medium speed until smooth.', 'Add 1 egg, the flour, bourbon, and currants; mix until well combined.', 'Roll out dough on a lightly floured work surface to 1/4 inch thick.', 'Cut into desired shapes (such as 2-inch card suit shapes).', 'Whisk together remaining egg and the cream in a small bowl, and brush cookies with egg wash. Space 1 inch apart on baking sheets lined with parchment paper.', 'Bake until pale golden brown,12 to 15 minutes.', 'Let cool on sheets on wire racks.', 'Cookies can be stored in airtight containers at room temperature up to 2 days.']","room, temperature, sugar, eggs, allpurpose, flour, bourbon"
pear liquor,"['1 lb pears', '3 cup vodka, rum, or brandy', '1 cup simple syrup', '3 tsp cinnamon', '2 clove', '2 tsp coriander seed']","['slice pears and add to other ingredients, adding sugar last.', 'let steep for three weeks.', 'strain and serve.']","vodka, rum, simple, syrup, seed"
"chocolate, coffee & hazelnut loaf","['300 ml thickened cream, well chilled', '1 liter prepared chocolate custard', '14 cup strong black coffee', '125 g roasted hazelnuts, roughly chopped', '125 g dark chocolate', '300 ml thickened cream', 'extra chopped chocolate']","['Beat cream in a bowl until soft peaks form, fold through chocolate custard and coffee using a large metal spoon.', 'Spoon into a large loaf tin, cover with plastic wrap and freeze for several hours.', 'Remove chocolate mixture from the freezer and process with a food processor until thick & creamy.', 'Transfer to a large bowl and fold through hazelnuts using a large metal spoon, cover & freeze again.', 'To make sauce: Break chocolate into pieces and put in a bowl with the cream, stir continuously over simmering hot water until a smooth sauce forms, remove from heat, allow to cool.', 'To serve: Turn loaf out onto a large plate and remove plastic wrap.', 'Sprinkle with chopped chocolate, cut into slices and serve with chocolate sauce.']","roasted, hazelnuts"
reuben in the round,"['1 (16 ounce) container sour cream', '12 cup thousand island dressing', '14 cup sliced green onion', '8 (2 cup) ouncesshredded swiss cheese', '8 ounces deli corned beef, cut into bite-size pieces', '1 (8 ounce) can sauerkraut, drained', '1 12 teaspoons caraway seeds', '1 (1 lb) loafunsliced pumpernickel bread or 1 (1 lb) loaf rye bread or 1 (1 lb) loaf sourdough bread', 'fresh vegetables (, celery, carrots, cukes, etc.)']","['In large bowl, stir together all ingredients except bread and veggies.', 'Refrigerate at least 2 hours.', 'Cut thin, lengthwise slice off of top of bread.', 'Hollow out center of bread, reserving bread to use for dipping, and leaving 1-inch shell.', 'fill with dip.', 'Serve with reserved bread and veggie dippers.']","island, dressing, onion, beef, seeds, loafunsliced, pumpernickel, bread, loaf, rye, bread, sourdough, bread"
original pound cake,"['2 cups sugar', '2 cups flour', '14 teaspoon salt', '1 teaspoon baking soda', '1 cup butter, softened', '5 eggs', '1 12 teaspoons vanilla extract', '1 12 teaspoons lemon extract (optional)']","['Combine all ingredients in a large mixer bowl until smooth about 5 or 6 minutes.', 'Add eggs , one at a time while you mix.', 'Pour into well buttered Bundt pan, or you can use a bread loaf pan.', 'Bake at 325 for 60 minutes, or until cake tests done.']","sugar, flour, salt, baking, soda, butter, lemon"
"bread, bean and vegetable soup, second time around","['Half of recipe above', '2 to 3 cups dayold dried good quality bread such as a nutty unsweetened whole wheat bread (Italian) or a sourdough or a Tuscan bread or a country French bread, cut into 1inch chunks, crusts left on', '4 teaspoons extra virgin olive oil', 'Salt and freshly ground black pepper', 'Freshly grated Parmesan or Pecorino Romano for garnish']","['Bring leftover soup to a boil.', 'Add diced bread and cook, stirring on occasion, for 10 minutes or until soup is thick and porridgelike.', 'Adjust the seasoning and ladle out.', 'Drizzle with olive oil and dust with more cheese if you like.']","recipe, dayold, quality, bread, French, bread, virgin, olive, oil, black, pepper, Romano"
mango lassi,"['1 large ripe mango', '10 fluid ounces low-fat yogurt', '1 ounce granulated sugar (or to taste)', '12 pint ice cube', '1 pinch salt', '12 pint soda water or 12 pint carbonated mineral water, chilled']","['Peel the mango and cut the flesh from the central stone.', 'Place mango flesh in blender together with ice, sugar, salt and yoghurt.', 'Blitz until smooth.', 'Pour into glasses and top up with chilled soda water.', 'Serve.']","ripe, mango, lowfat, yogurt, sugar, salt, soda, water"
blt salad,"['34 cup mayonnaise', '4 slices Italian bread (1-inch thick)', '12 slices bacon, thick-cut, chopped', '3 tablespoons red wine vinegar', '4 cups cherry tomatoes, halved', '1 (10 ounce) bag romaine lettuce, chopped', 'salt', 'fresh ground pepper']","['Adjust oven rack to middle position and heat oven to 475F Spread 1/4 cup mayonnaise over both sides of bread slices and transfer to baking sheet.', 'Bake until golden brown, 8-10 minutes.', 'let cool 5 minutes, then cut into 1-inch croutons.', 'Cook bacon in large skillet over medium heat until crisp, about 8 minutes.', 'Transfer to paper towel-lined plate.', 'Discard dripping.', 'Whisk remaining mayonnaise and vinegar in large bowl.', 'Add bacon, tomatoes, lettuce, and croutons and toss to combine.', 'Season with salt and pepper.', 'Serve.']","mayonnaise, Italian, bread, wine, vinegar, tomatoes, romaine, lettuce, pepper"
spinach casserole,"['1 12 cups egg substitute (or 6 eggs, lightly beaten)', '1 (16 ounce) container lowfat large curd cottage cheese', '1 (16 ounce) container fat-free cottage cheese', '8 ounces shredded low-fat cheddar cheese', '6 tablespoons all-purpose flour', '2 (20 ounce) packages frozen chopped spinach, thawed and drained well']","['Preheat oven to 350 degrees.', 'Combine all ingredients together in large bowl.', 'Spray large casserole dish or oblong baking pan with non-stick cooking spray.', 'Pour ingredients in pan and bake at 350 degrees for 1 hour or until knife inserted in middle comes out clean.']","egg, substitute, allpurpose, flour, packages, spinach"
yellow squash saute,"['1 teaspoon olive oil', '12 lb yellow squash, sliced into 1/4 inch slices', '12 cup diced onion', '1 green pepper, diced', '1 tablespoon garlic powder', '1 teaspoon oregano', '1 teaspoon dried basil', 'salt and pepper']","['Coat frying pan or sauce pan with olive oil and heat to a medium-high heat.', 'Add in onions, squash, and green pepper and saute until everything everything is lightly browned but still has some crispyness to it.', 'About 8 minutes for me.', 'Add in seasonings and stir well.', 'Let cook for an additional minute and serve.']","olive, oil, onion, pepper, powder, basil, pepper"
